bearing,ring,extent,damage_kind,condition,median_margin,detection,q25,q75,n_frames
KI05,inner,1,artificial engraver,all,-1.9333979197308846,0.0875,-2.2353543129698035,-1.343934828087131,1280
KI05,inner,1,artificial engraver,N15_M07_F10,-1.988128327011451,0.003125,-2.222494991656137,-1.7185557839320766,320
KI05,inner,1,artificial engraver,N09_M07_F10,-2.115820998233356,0.15673981191222572,-2.6939964699136763,-0.8023901027362625,319
KI05,inner,1,artificial engraver,N15_M01_F10,-2.044695609673993,0.006269592476489028,-2.209987432066419,-1.7535262678172354,319
KI05,inner,1,artificial engraver,N15_M07_F04,-1.3985694790225807,0.18322981366459629,-1.9429438276721434,-0.606536084221939,322
KI07,inner,2,artificial engraver,all,-0.24754878527411828,0.4270101483216237,-1.0871114495248038,0.7797019486501481,1281
KI07,inner,2,artificial engraver,N15_M07_F10,-0.1374048509502312,0.453125,-0.976148312035034,0.7534439772061983,320
KI07,inner,2,artificial engraver,N09_M07_F10,-0.6692030809795294,0.3925233644859813,-1.6893548360789998,1.4648434363737706,321
KI07,inner,2,artificial engraver,N15_M01_F10,0.2800618660993388,0.615625,-0.3705444728691632,1.1713980512848845,320
KI07,inner,2,artificial engraver,N15_M07_F04,-0.6918848621464758,0.246875,-1.318602849690835,-0.005668118375451725,320
KI08,inner,2,artificial engraver,all,8.619342667600552,0.9992175273865415,5.95594675581282,12.865868156137306,1278
KI08,inner,2,artificial engraver,N15_M07_F10,15.62461293945996,1.0,13.025530013040257,17.87235376416065,319
KI08,inner,2,artificial engraver,N09_M07_F10,6.600777572691169,0.9968652037617555,4.497804309647121,8.789002830350672,319
KI08,inner,2,artificial engraver,N15_M01_F10,9.889748958761178,1.0,7.56773658566337,12.04632474139333,320
KI08,inner,2,artificial engraver,N15_M07_F04,6.1013604790089175,1.0,4.35083667973645,7.537899393740286,320
KI14,inner,1,real fatigue pitting,all,-0.17117934561349107,0.453198127925117,-1.0733880820707027,0.9071284331384032,1282
KI14,inner,1,real fatigue pitting,N15_M07_F10,1.244813080470903,0.8878504672897196,0.5261454431537199,2.046685316570433,321
KI14,inner,1,real fatigue pitting,N09_M07_F10,-1.3116833607684226,0.06875,-1.6318954266645442,-0.8643893573762237,320
KI14,inner,1,real fatigue pitting,N15_M01_F10,0.3233567120973261,0.6625,-0.21364877522440465,1.032943121731859,320
KI14,inner,1,real fatigue pitting,N15_M07_F04,-0.692621074745493,0.19314641744548286,-1.1194917811678633,-0.18118296945978762,321
KI16,inner,3,real fatigue pitting,all,21.41460736377526,1.0,17.12730162418451,27.007547007351107,1286
KI16,inner,3,real fatigue pitting,N15_M07_F10,22.157747386530822,1.0,20.80954714644621,24.24851415751477,321
KI16,inner,3,real fatigue pitting,N09_M07_F10,18.661671285508486,1.0,16.319364981741565,21.007000959054082,320
